,Unnamed: 0,Filenames,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,0,001966.jpg,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
1,1,003029.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,2,001600.jpg,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,3,000994.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
4,4,000097.jpg,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
5,5,006716.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,003378.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,7,001744.jpg,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1
8,8,000231.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
9,9,002703.jpg,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
10,10,006834.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
11,11,008003.jpg,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
12,12,000986.jpg,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
13,13,000981.jpg,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
14,14,004134.jpg,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
15,15,007012.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
16,16,001905.jpg,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
17,17,002296.jpg,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0
18,18,003600.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,19,009493.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,20,008325.jpg,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0
21,21,004511.jpg,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
22,22,005059.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
23,23,004690.jpg,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
24,24,008045.jpg,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0
25,25,002892.jpg,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
26,26,007993.jpg,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1
27,27,001601.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
28,28,006672.jpg,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
29,29,002131.jpg,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
30,30,009077.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
31,31,007415.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
32,32,004086.jpg,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
33,33,009663.jpg,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
34,34,005192.jpg,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
35,35,003850.jpg,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0
